distance	shift	window_size_hrs	clust_metric	value	window_overlap_perc
CID-DTW	0	1.25	cluster	5	0
CID-DTW	0	1.25	totWSS	10662365.0293605	0
CID-DTW	0	1.25	totBSS/totSS	0.864291587351286	0
CID-DTW	0	1.25	silhouette	0.31984609345272	0
CID-DTW	0	1.25	Calinkski-Harabasz	11172.6109838805	0
CID-DTW	0	1.25	entropy	1.56903405543427	0
CID-DTW	0	1.25	Dunn	0.489619524414408	0
CID-DTW	0	1.5	cluster	4	0
CID-DTW	0	1.5	totWSS	13130428.5328632	0
CID-DTW	0	1.5	totBSS/totSS	0.845571734465008	0
CID-DTW	0	1.5	silhouette	0.358675140416049	0
CID-DTW	0	1.5	Calinkski-Harabasz	10763.3370971521	0
CID-DTW	0	1.5	entropy	1.34542272118131	0
CID-DTW	0	1.5	Dunn	0.704919187008761	0
CID-DTW	0	2.5	cluster	4	0
CID-DTW	0	2.5	totWSS	17132866.9411034	0
CID-DTW	0	2.5	totBSS/totSS	0.830084042337789	0
CID-DTW	0	2.5	silhouette	0.310037490587221	0
CID-DTW	0	2.5	Calinkski-Harabasz	5567.90234973365	0
CID-DTW	0	2.5	entropy	1.34800739084569	0
CID-DTW	0	2.5	Dunn	0.653391988881916	0
CID-DTW	0	2	cluster	4	0
CID-DTW	0	2	totWSS	16550997.5372742	0
CID-DTW	0	2	totBSS/totSS	0.829848526094219	0
CID-DTW	0	2	silhouette	0.322910286451018	0
CID-DTW	0	2	Calinkski-Harabasz	7189.20142448148	0
CID-DTW	0	2	entropy	1.34336217899962	0
CID-DTW	0	2	Dunn	0.694112256411365	0
CID-DTW	0	3.5	cluster	3	0
CID-DTW	0	3.5	totWSS	27330064.0309545	0
CID-DTW	0	3.5	totBSS/totSS	0.731899454239439	0
CID-DTW	0	3.5	silhouette	0.342118731419315	0
CID-DTW	0	3.5	Calinkski-Harabasz	3299.63568200408	0
CID-DTW	0	3.5	entropy	1.01943141974437	0
CID-DTW	0	3.5	Dunn	0.926946309876115	0
CID-DTW	0	3	cluster	3	0
CID-DTW	0	3	totWSS	25840038.1343002	0
CID-DTW	0	3	totBSS/totSS	0.721893095244402	0
CID-DTW	0	3	silhouette	0.344775361748281	0
CID-DTW	0	3	Calinkski-Harabasz	3750.04455365348	0
CID-DTW	0	3	entropy	1.04246481988249	0
CID-DTW	0	3	Dunn	0.89704845000819	0
CID-DTW	0	4	cluster	3	0
CID-DTW	0	4	totWSS	25080833.956163	0
CID-DTW	0	4	totBSS/totSS	0.737475329533107	0
CID-DTW	0	4	silhouette	0.321896329621955	0
CID-DTW	0	4	Calinkski-Harabasz	2981.0231341172	0
CID-DTW	0	4	entropy	1.04889716239235	0
CID-DTW	0	4	Dunn	0.9117041336229	0
CID-DTW	0	5.5	cluster	3	0
CID-DTW	0	5.5	totWSS	13159014.549835	0
CID-DTW	0	5.5	totBSS/totSS	0.703365822946807	0
CID-DTW	0	5.5	silhouette	0.309110525805035	0
CID-DTW	0	5.5	Calinkski-Harabasz	1047.36143280654	0
CID-DTW	0	5.5	entropy	0.994371297286722	0
CID-DTW	0	5.5	Dunn	0.983484243958426	0
CID-DTW	0	5	cluster	3	0
CID-DTW	0	5	totWSS	14552484.3231765	0
CID-DTW	0	5	totBSS/totSS	0.728389504045109	0
CID-DTW	0	5	silhouette	0.323330609465138	0
CID-DTW	0	5	Calinkski-Harabasz	1421.820237569	0
CID-DTW	0	5	entropy	1.00855798562755	0
